name, rating,restaurant_id,price,address,latitude,longitude,category
the-front-room,4.0,AuecSQtLH2oUwXEXZEv1gg,$$,"['73 Congress St', 'Portland, ME 04101']",43.66727,-70.24649,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
little-tap-house,4.0,d4tcjIZ0uTnljYJkA7R8uw,$$,"['106 High St', 'Portland, ME 04101']",43.65314,-70.26227,"[{'alias': 'gastropubs', 'title': 'Gastropubs'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
jp's-bistro,4.5,m_q2VwqlbnPmIdsjOFmXgA,$$,"['496 Woodford St', 'Portland, ME 04103']",43.6690801,-70.3006566,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
bayside-american-cafe,4.5,zPfg3n_-TXN0u05HThar9Q,$$,"['98 Portland St', 'Portland, ME 04101']",43.6576897226602,-70.2656469439311,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cafes', 'title': 'Cafes'}]"
woodford-f-&-b,4.0,2g6SV6WryD7mwo2vgRNbiQ,$$$,"['660 Forest Ave', 'Portland, ME 04103']",43.6709338673948,-70.2845136073474,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'seafood', 'title': 'Seafood'}]"
silly's,4.0,DQ-iAIOsTcU9GnWTPZ-CgA,$$,"['40 Washington Ave', 'Portland, ME 04101']",43.6646297052173,-70.2519705717582,"[{'alias': 'diners', 'title': 'Diners'}, {'alias': 'vegan', 'title': 'Vegan'}, {'alias': 'gluten_free', 'title': 'Gluten-Free'}]"
eaux,4.5,rL8z_kuasan7944oDoUduQ,---,"['90 Exchange St', 'Portland, ME 04101']",43.65822,-70.25552,"[{'alias': 'cajun', 'title': 'Cajun/Creole'}]"
flatbread-company,4.5,kyarNtwFc9hqHFsDmbN7yw,$$,"['72 Commercial St', 'Portland, ME 04101']",43.6573550703061,-70.2500543525629,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]"
j's-oyster,3.5,FZXIMypSxktqxf62OZGVFQ,$$,"['5 Portland Pier', 'Portland, ME 04101']",43.6560140074202,-70.2511765232788,"[{'alias': 'seafood', 'title': 'Seafood'}]"
miyake,4.5,ydpCQt4ZADqDFo2EZ7HTSg,$$$,"['468 Fore St', 'Portland, ME 04101']",43.6554271720976,-70.2554401850103,"[{'alias': 'japanese', 'title': 'Japanese'}, {'alias': 'sushi', 'title': 'Sushi Bars'}]"
mi-sen-noodle-bar,4.5,IeF4q_ZeohItUszVVnSk0w,$$,"['630 Congress St', 'Portland, ME 04101']",43.6535505790387,-70.264418228202,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
noble-barbecue,4.5,dvmEas8X5deYNfNunXnYPQ,$$,"['1706 Forest Ave', 'Portland, ME 04103']",43.6987352118386,-70.3119722753763,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
cong-tu-bot,4.5,zmwUzQXn3nVJ7J1l2QvrKw,$$,"['57 Washington Ave', 'Portland, ME 04101']",43.6652297,-70.2520589,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}]"
blue-spoon,4.0,LrxS3HbauzYhashsTB5vPw,$$,"['89 Congress St', 'Portland, ME 04101']",43.66686,-70.24687,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}]"
becky's-diner,4.0,ibrPcysZL-EkKpVxC_-fDw,$$,"['390 Commercial St', 'Portland, ME 04101']",43.650615,-70.256931,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
maiz-colombian-street-food,5.0,cJQ9a7ZRxqX197AxWwpctg,$,"['28 Monument Way', 'Portland, ME 04101']",43.6576070407951,-70.2585438512238,"[{'alias': 'colombian', 'title': 'Colombian'}]"
maine-oyster-company,5.0,jmL_E1oMvv77NqHBdoc2ow,---,"['38 Portland St', 'Portland, ME 04101']",43.65815,-70.26294,"[{'alias': 'seafood', 'title': 'Seafood'}]"
pai-men-miyake,4.0,iWR2CC0pnLY6OpJ7I6SvfQ,$$,"['188 State St', 'Portland, ME 04101']",43.652919218049,-70.267085747193,"[{'alias': 'sushi', 'title': 'Sushi Bars'}, {'alias': 'ramen', 'title': 'Ramen'}]"
lolita-vinoteca-+-asador,4.5,2E6jklI3zGseR182WDk5dA,$$,"['90 Congress St', 'Portland, ME 04101']",43.666589,-70.246717,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'tapasmallplates', 'title': 'Tapas/Small Plates'}, {'alias': 'wine_bars', 'title': 'Wine Bars'}]"
the-5-spot-&-philly-underground-bar,4.5,wLjcMwqR__sMZCTvfvrrgw,$,"['935 Congress St', 'Portland, ME 04102']",43.65383,-70.279,"[{'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'cheesesteaks', 'title': 'Cheesesteaks'}, {'alias': 'bars', 'title': 'Bars'}]"
artemisia-cafe,4.5,yS_a0_VrYufO9WVgXQpaiw,$$,"['61 Pleasant St', 'Portland, ME 04101']",43.65393,-70.25917,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'cafes', 'title': 'Cafes'}, {'alias': 'burgers', 'title': 'Burgers'}]"
five-fifty-five,4.0,tTKTsa-HGWnbxKrLOgM1Tg,$$$,"['555 Congress St', 'Portland, ME 04101']",43.6553115844727,-70.2621307373047,"[{'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]"
dutch's,4.5,AEVPmm_ZOTUvFALo1X68pA,$,"['28 Preble St', 'Portland, ME 04101']",43.6578360021297,-70.260703,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]"
emilitsa,4.5,uPi2y7cseB5Ffl-Oz85--g,$$$,"['547 Congress St', 'Portland, ME 04101']",43.65556,-70.26183,"[{'alias': 'greek', 'title': 'Greek'}]"
yobo,4.5,EjYdvC0Ye6QcFBUaQ8ngBw,$$,"['23 Forest Ave', 'Portland, ME 04101']",43.6551699341811,-70.2628979948421,"[{'alias': 'korean', 'title': 'Korean'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
dimillo's-on-the-water,3.5,cKPfe87TXWw26-ggHTwJvw,$$$,"['25 Long Wharf', 'Portland, ME 04101']",43.6542111338841,-70.2506053447723,"[{'alias': 'seafood', 'title': 'Seafood'}, {'alias': 'italian', 'title': 'Italian'}, {'alias': 'newamerican', 'title': 'American (New)'}]"
bob's-clam-hut,4.5,d0JTdMukyjo5ZvA-f0q5eA,---,"['111 Cumberland Ave', 'Portland, ME 04101']",43.6639373266478,-70.2516457906682,"[{'alias': 'seafood', 'title': 'Seafood'}]"
roma-cafe,4.5,FGKuWrx2w0xK04njRlkLxQ,$$,"['767 Congress St', 'Portland, ME 04102']",43.6537136166302,-70.2716352294998,"[{'alias': 'italian', 'title': 'Italian'}]"
veranda-noodle-house,4.5,aqbSiJBpDeaLLQAZWb_g2w,$$,"['245 Commercial St', 'Portland, ME 04101']",43.65484,-70.25467,"[{'alias': 'vietnamese', 'title': 'Vietnamese'}, {'alias': 'thai', 'title': 'Thai'}, {'alias': 'noodles', 'title': 'Noodles'}]"
sisters-gourmet-deli,4.5,BNThuhU3QfO1Vtw_nA8OxA,$,"['15 Monument Sq', 'Portland, ME 04101']",43.6571162028915,-70.2587480081917,"[{'alias': 'delis', 'title': 'Delis'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]"
